movie_name,movie_date,movie_description,movie_rate,movie_director,movie_type,movie_lanuage,movie_star
肖申克的救赎,1994,希望让人自由。,794808人评价,弗兰克·德拉邦特 Frank Darabont,犯罪 剧情,美国,9.6
这个杀手不太冷,1994,怪蜀黍和小萝莉不得不说的故事。,762932人评价,吕克·贝松 Luc Besson,剧情 动作 犯罪,法国,9.4
霸王别姬,1993,风华绝代。,560714人评价,陈凯歌 Kaige Chen,剧情 爱情 同性,中国大陆 香港,9.5
阿甘正传,1994,一部美国近现代史。,657190人评价,Robert Zemeckis,剧情 爱情,美国,9.4
美丽人生,1997,最美的谎言。,379377人评价,罗伯托·贝尼尼 Roberto Benigni,剧情 喜剧 爱情 战争,意大利,9.5
千与千寻,2001,最好的宫崎骏，最好的久石让。 ,609274人评价,宫崎骏 Hayao Miyazaki,剧情 动画 奇幻,日本,9.2
辛德勒的名单,1993,拯救一个人，就是拯救整个世界。,351764人评价,史蒂文·斯皮尔伯格 Steven Spielberg,剧情 历史 战争,美国,9.4
泰坦尼克号,1997,失去的才是永恒的。 ,604178人评价,詹姆斯·卡梅隆 James Cameron,剧情 爱情 灾难,美国,9.2
盗梦空间,2010,诺兰给了我们一场无法盗取的梦。,713147人评价,克里斯托弗·诺兰 Christopher Nolan,剧情 动作 科幻 悬疑 冒险,美国 英国,9.2
机器人总动员,2008,小瓦力，大人生。,468446人评价,安德鲁·斯坦顿 Andrew Stanton,喜剧 爱情 科幻 动画 冒险,美国,9.3
海上钢琴师,1998,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,560852人评价,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 音乐,意大利,9.2
三傻大闹宝莱坞,2009,英俊版憨豆，高情商版谢耳朵。,618095人评价,拉库马·希拉尼 Rajkumar Hirani,剧情 喜剧 爱情 歌舞,印度,9.1
忠犬八公的故事,2009,永远都不能忘记你所爱的人。,410624人评价,莱塞·霍尔斯道姆 Lasse Hallström,剧情,美国 英国,9.2
放牛班的春天,2004,天籁一般的童声，是最接近上帝的存在。 ,418320人评价,克里斯托夫·巴拉蒂 Christophe Barratier,剧情 音乐,法国 瑞士 德国,9.2
大话西游之大圣娶亲,1995,一生所爱。,425309人评价,刘镇伟 Jeffrey Lau,动作 冒险 喜剧 奇幻 爱情,香港 中国大陆,9.1
教父,1972,千万不要记恨你的对手，这样会让你失去理智。,319470人评价,弗朗西斯·福特·科波拉 Francis Ford Coppola,剧情 犯罪,美国,9.2
龙猫,1988,人人心中都有个龙猫，童年就永远不会消失。,389031人评价,宫崎骏 Hayao Miyazaki,动画 奇幻,日本,9.1
乱世佳人,1939,Tomorrow is another day.,252203人评价,Victor Fleming / George Cukor,剧情 爱情 战争,美国,9.2
楚门的世界,1998,如果再也不能见到你，祝你早安，午安，晚安。,410997人评价,彼得·威尔 Peter Weir,剧情 科幻,美国,9.0
天堂电影院,1988,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,289912人评价,朱塞佩·托纳多雷 Giuseppe Tornatore,剧情 爱情,意大利 法国,9.1
当幸福来敲门,2006,平民励志片。 ,502429人评价,加布里尔·穆奇诺 Gabriele Muccino,剧情 传记 家庭,美国,8.9
触不可及,2011,满满温情的高雅喜剧。,338683人评价,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,剧情 喜剧,法国,9.1
搏击俱乐部,1999,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,382532人评价,大卫·芬奇 David Fincher,剧情 动作 悬疑 惊悚,美国 德国,9.0
十二怒汉,1957,1957年的理想主义。 ,157062人评价,Sidney Lumet,剧情,美国,9.3
指环王3：王者无敌,2003,史诗的终章。,267462人评价,彼得·杰克逊 Peter Jackson,剧情 动作 奇幻 冒险,美国 新西兰,9.1
无间道,2002,香港电影史上永不过时的杰作。,365693人评价,刘伟强 / 麦兆辉,犯罪 悬疑 惊悚,香港,9.0
怦然心动,2010,真正的幸福是来自内心深处。,496882人评价,罗伯·莱纳 Rob Reiner,剧情 喜剧 爱情,美国,8.9
熔炉,2011,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,217393人评价,黄东赫 Dong-hyuk Hwang,剧情,韩国,9.2
罗马假日,1953,爱情哪怕只有一天。,359344人评价,威廉·惠勒 William Wyler,喜剧 剧情 爱情,美国,8.9
天空之城,1986,对天空的追逐，永不停止。 ,308185人评价,宫崎骏 Hayao Miyazaki,动画 奇幻 冒险,日本,9.0
少年派的奇幻漂流,2012,瑰丽壮观、无人能及的冒险之旅。,544465人评价,李安 Ang Lee,剧情 奇幻 冒险,美国 台湾 英国 加拿大,9.0
大话西游之月光宝盒,1995,旷古烁今。,363648人评价,刘镇伟 Jeffrey Lau,喜剧 动作 爱情 奇幻 冒险 古装,香港 中国大陆,8.9
